wind_ms,farm,mission_time_s,unique_pests,replans,crash,found_frac
0.0,1,303.55,0,109,1,0.0
0.0,1,303.58,0,109,1,0.0
0.0,1,303.62,0,109,1,0.0
0.0,1,303.65,0,109,1,0.0
0.0,1,303.68,0,109,1,0.0
0.0,1,303.71,0,109,1,0.0
0.0,1,303.74,0,109,1,0.0
0.0,1,303.78,0,109,1,0.0
0.0,1,303.81,0,109,1,0.0
0.0,1,303.84,0,109,1,0.0
0.0,1,303.87,0,109,1,0.0
0.0,1,303.9,0,109,1,0.0
0.0,1,303.94,0,109,1,0.0
0.0,1,303.97,0,109,1,0.0
0.0,1,304.0,0,109,1,0.0
0.0,1,304.03,0,109,1,0.0
0.0,1,304.06,0,109,1,0.0
0.0,1,304.1,0,109,1,0.0
0.0,1,304.13,0,109,1,0.0
0.0,1,304.16,0,109,1,0.0
0.0,1,304.19,0,109,1,0.0
0.0,1,304.22,0,109,1,0.0
0.0,1,304.26,0,109,1,0.0
0.0,1,304.29,0,109,1,0.0
0.0,1,304.32,0,109,1,0.0
0.0,1,304.35,0,109,1,0.0
0.0,1,304.38,0,109,1,0.0
0.0,1,304.42,0,109,1,0.0
0.0,1,304.45,0,109,1,0.0
0.0,1,304.48,0,109,1,0.0
